2;'hug0pN6uzzA';'NG HNQIS Family Planning'
3;'vVAUx6L0YAI';'NG HNQIS IMCI'
4;'GHj9Yy6iyKG';'NG HNQIS Focused Antenatal Care'
5;'O8pRU5jVlwz';'NG HNQIS Post Partum IUD'
6;'l05C4sUJMFL';'NG HNQIS Pregnancy and Delivery Complications'
7;'W4oCVoftkff';'NG HNQIS Labour and Delivery'
8;'KtysP2S7Pt2';'NG HNQIS Cervical Cancer'
9;'slp58AL4mbW';'NG HNQIS Tuberculosis'
10;'skZiFswjqUo';'NG HNQIS Newborn Resuscitation'
11;'D7d0KMTH5Ue';'NG HNQIS HIV'
12;'gm7WxYPWKTn';'NG HNQIS Hypertension'
13;'kOFrOystFsx';'NG HNQIS Work Environment'
14;'GHan8jFY8Tu';'NG HNQIS Malaria in Adults'
15;'Ff7ccld3wg2';'NG HNQIS Post Abortion Care'
16;'Ldy7XN8tyHe';'NG HNQIS STIs'
