1;'f38b00';'question_images/rdt_positive.png'
2;'00b3e3';'question_images/rdt_negative.png'
3;'003745';'question_images/rdt_no_tested.png'
4;'edce00';'question_images/ntr_refuse.png'
5;'139f82';'question_images/ntr_danger.png'
6;'003745';'question_images/ntr_stock_out.png'
7;'edce00';'question_images/sex_male.png'
8;'799900';'question_images/sex_female.png'
9;'139f82';'question_images/specie_pf.png'
10;'edce00';'question_images/specie_pv.png'
11;'f38b00';'question_images/specie_mix.png'
12;'f38b00';'question_images/t_euartesim.png'
13;'139f82';'question_images/t_asmq.png'
14;'003745';'question_images/t_referral.png'
15;'00b3e3';'question_images/e_age_five.png'
16;'139f82';'question_images/e_age_ten.png'
17;'f38b00';'question_images/e_age_fifteen.png'
18;'edce00';'question_images/e_age_fifteen_sixty.png'
19;'00b3e3';'question_images/asmq_age_five.png'
20;'f38b00';'question_images/asmq_age_seven.png'
21;'edce00';'question_images/asmq_age_thirteen.png'
22;'799900';'question_images/asmq_r_children.png'
23;'edce00';'question_images/asmq_r_pregnant.png'
24;'003745';'question_images/asmq_r_act_stock_out.png'
25;'00b3e3';'question_images/asmq_cc_yes.png'
26;'edce00';'question_images/asmq_cc_no.png'
27;'edce00';'question_images/asmq_o_plantation.png'
28;'f38b00';'question_images/asmq_o_construction.png'
29;'799900';'question_images/asmq_o_forest.png'
30;'00b3e3';'question_images/asmq_o_security.png'
31;'003745';'question_images/asmq_o_other.png'
